"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1236","usuário obrigatório","","Fri Feb 07 13:47:22 GMT 2025","passed","Fri Feb 07 13:47:23 GMT 2025","","Login","",""
"","557","senha obrigatória","","Fri Feb 07 13:47:23 GMT 2025","passed","Fri Feb 07 13:47:24 GMT 2025","","Login","",""
"","836","usuário não existe","","Fri Feb 07 13:47:24 GMT 2025","passed","Fri Feb 07 13:47:25 GMT 2025","","Login","",""
"","813","com sucesso","","Fri Feb 07 13:47:25 GMT 2025","passed","Fri Feb 07 13:47:26 GMT 2025","","Login","",""
"","755","senha incorreta","","Fri Feb 07 13:47:25 GMT 2025","passed","Fri Feb 07 13:47:25 GMT 2025","","Login","",""
